,data,algorithm,param,degree_source_1,degree_source_2,number_of_nodes,coverage,number_of_modules,number_of_missing_modules,no_behavior_modules,third_party_modules,other_reason_modules,number_of_classes,number_of_missing_classes,no_behavior_classes,third_party_classes,other_reason_classes,number_of_edges,number_of_services,number_of_services_with_interface,number_of_interfaces,number_of_operations,average_cohesion_at_domain_level,average_cohesion_at_message_level,average_interface_number,number_of_singleton_services,average_cluster_factor,structural_modularity_quality,conceptual_modularity_quality,max_service_size
0,static,louvain,1,,,22,0.431,14,11,6,1,4,37,18,6,0,12,23,6,4,7,11,0.5,0.524,1.75,0,0.243,0.19,0.109,6
1,semantic,louvain,1,,,49,0.961,14,1,1,0,0,37,1,0,0,1,360,6,6,26,60,0.494,0.531,4.333,0,0.742,0.015,0.252,16
2,dynamic,louvain,1,,,33,0.647,14,2,0,0,2,37,16,7,0,9,64,6,5,9,17,0.567,0.724,1.8,0,0.614,0.151,0.09,14
3,static_dynamic,louvain,1,0.0,,33,0.647,14,2,0,0,2,37,16,7,0,9,64,6,5,9,17,0.567,0.724,1.8,0,0.614,0.151,0.09,14
4,static_dynamic,louvain,1,0.2,,37,0.725,14,2,0,0,2,37,12,6,0,6,82,7,5,19,37,0.505,0.627,3.8,0,0.631,0.167,0.103,15
5,static_dynamic,louvain,1,0.4,,37,0.725,14,2,0,0,2,37,12,6,0,6,82,8,6,20,39,0.53,0.639,3.333,0,0.645,0.165,0.099,9
6,static_dynamic,louvain,1,0.5,,37,0.725,14,2,0,0,2,37,12,6,0,6,82,10,8,21,42,0.457,0.586,2.625,0,0.686,0.188,0.114,8
7,static_dynamic,louvain,1,0.6,,37,0.725,14,2,0,0,2,37,12,6,0,6,82,10,8,21,42,0.457,0.586,2.625,0,0.691,0.188,0.114,8
8,static_dynamic,louvain,1,0.8,,37,0.725,14,2,0,0,2,37,12,6,0,6,82,8,6,20,42,0.441,0.574,3.333,0,0.67,0.174,0.116,10
9,static_dynamic,louvain,1,1.0,,22,0.431,14,11,6,1,4,37,18,6,0,12,23,6,4,7,11,0.5,0.524,1.75,0,0.243,0.19,0.109,6
10,static_semantic,louvain,1,0.0,,49,0.961,14,1,1,0,0,37,1,0,0,1,360,6,6,26,60,0.494,0.531,4.333,0,0.742,0.015,0.252,16
11,static_semantic,louvain,1,0.2,,50,0.98,14,1,1,0,0,37,0,0,0,0,372,5,5,25,61,0.447,0.487,5.0,0,0.746,0.024,0.231,20
12,static_semantic,louvain,1,0.4,,50,0.98,14,1,1,0,0,37,0,0,0,0,372,5,4,22,50,0.532,0.562,5.5,0,0.755,0.034,0.22,18
13,static_semantic,louvain,1,0.5,,50,0.98,14,1,1,0,0,37,0,0,0,0,372,5,5,21,48,0.557,0.579,4.2,0,0.75,0.041,0.207,16
14,static_semantic,louvain,1,0.6,,50,0.98,14,1,1,0,0,37,0,0,0,0,372,5,4,19,47,0.458,0.493,4.75,0,0.768,0.034,0.2,13
15,static_semantic,louvain,1,0.8,,50,0.98,14,1,1,0,0,37,0,0,0,0,372,7,7,22,57,0.492,0.517,3.143,0,0.759,0.092,0.104,16
16,static_semantic,louvain,1,1.0,,22,0.431,14,11,6,1,4,37,18,6,0,12,23,6,4,7,11,0.5,0.524,1.75,0,0.243,0.19,0.109,6
17,dynamic_semantic,louvain,1,0.0,,49,0.961,14,1,1,0,0,37,1,0,0,1,360,6,6,26,60,0.494,0.531,4.333,0,0.742,0.015,0.252,16
18,dynamic_semantic,louvain,1,0.2,,51,1.0,14,0,0,0,0,37,0,0,0,0,405,6,5,27,62,0.525,0.549,5.4,0,0.719,0.01,0.2,22
19,dynamic_semantic,louvain,1,0.4,,51,1.0,14,0,0,0,0,37,0,0,0,0,405,5,4,20,48,0.485,0.518,5.0,0,0.753,0.014,0.214,16
20,dynamic_semantic,louvain,1,0.5,,51,1.0,14,0,0,0,0,37,0,0,0,0,405,6,5,27,61,0.562,0.579,5.4,0,0.702,0.008,0.185,12
21,dynamic_semantic,louvain,1,0.6,,51,1.0,14,0,0,0,0,37,0,0,0,0,405,6,5,23,58,0.443,0.471,4.6,0,0.707,0.009,0.202,13
22,dynamic_semantic,louvain,1,0.8,,51,1.0,14,0,0,0,0,37,0,0,0,0,405,6,6,24,55,0.462,0.568,4.0,0,0.731,0.043,0.14,18
23,dynamic_semantic,louvain,1,1.0,,33,0.647,14,2,0,0,2,37,16,7,0,9,64,6,5,9,17,0.567,0.724,1.8,0,0.614,0.151,0.09,14
24,static_dynamic_semantic,louvain,1,0.333,0.333,51,1.0,14,0,0,0,0,37,0,0,0,0,413,5,4,20,47,0.485,0.529,5.0,0,0.77,0.017,0.203,14
