,data,algorithm,param,degree_source_1,degree_source_2,number_of_nodes,coverage,number_of_modules,number_of_missing_modules,no_behavior_modules,third_party_modules,other_reason_modules,number_of_classes,number_of_missing_classes,no_behavior_classes,third_party_classes,other_reason_classes,number_of_edges,number_of_services,number_of_services_with_interface,number_of_interfaces,number_of_operations,average_cohesion_at_domain_level,average_cohesion_at_message_level,average_interface_number,number_of_singleton_services,average_cluster_factor,structural_modularity_quality,conceptual_modularity_quality,max_service_size
0,static,louvain,1,,,8,0.667,7,3,2,0,1,5,1,0,0,1,10,4,4,5,15,0.511,0.756,1.25,0,0.901,0.125,0.146,2
1,semantic,louvain,1,,,11,0.917,7,1,0,0,1,5,0,0,0,0,21,3,3,4,10,0.479,0.25,1.333,0,0.571,0.221,0.265,5
2,dynamic,louvain,1,,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,4,3,6,19,0.528,0.369,2.0,0,0.664,0.175,0.178,4
3,static_dynamic,louvain,1,0.0,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,4,3,6,19,0.528,0.369,2.0,0,0.664,0.175,0.178,4
4,static_dynamic,louvain,1,0.2,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,4,3,6,19,0.528,0.369,2.0,0,0.665,0.175,0.178,4
5,static_dynamic,louvain,1,0.4,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,3,3,4,10,0.479,0.25,1.333,0,0.632,0.204,0.206,6
6,static_dynamic,louvain,1,0.5,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,3,3,4,10,0.479,0.25,1.333,0,0.636,0.204,0.206,6
7,static_dynamic,louvain,1,0.6,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,3,3,4,10,0.479,0.25,1.333,0,0.641,0.204,0.206,6
8,static_dynamic,louvain,1,0.8,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,4,4,6,19,0.417,0.333,1.5,0,0.682,0.182,0.193,4
9,static_dynamic,louvain,1,1.0,,8,0.667,7,3,2,0,1,5,1,0,0,1,10,4,4,5,15,0.511,0.756,1.25,0,0.901,0.125,0.146,2
10,static_semantic,louvain,1,0.0,,11,0.917,7,1,0,0,1,5,0,0,0,0,21,3,3,4,10,0.479,0.25,1.333,0,0.571,0.221,0.265,5
11,static_semantic,louvain,1,0.2,,11,0.917,7,1,0,0,1,5,0,0,0,0,22,3,3,4,10,0.479,0.25,1.333,0,0.579,0.234,0.265,5
12,static_semantic,louvain,1,0.4,,11,0.917,7,1,0,0,1,5,0,0,0,0,22,3,3,4,10,0.479,0.25,1.333,0,0.59,0.234,0.265,5
13,static_semantic,louvain,1,0.5,,11,0.917,7,1,0,0,1,5,0,0,0,0,22,4,4,6,19,0.417,0.333,1.5,0,0.617,0.189,0.205,4
14,static_semantic,louvain,1,0.6,,11,0.917,7,1,0,0,1,5,0,0,0,0,22,4,4,6,19,0.417,0.333,1.5,0,0.632,0.189,0.205,4
15,static_semantic,louvain,1,0.8,,11,0.917,7,1,0,0,1,5,0,0,0,0,22,5,5,7,26,0.389,0.397,1.4,0,0.642,0.149,0.133,3
16,static_semantic,louvain,1,1.0,,8,0.667,7,3,2,0,1,5,1,0,0,1,10,4,4,5,15,0.511,0.756,1.25,0,0.901,0.125,0.146,2
17,dynamic_semantic,louvain,1,0.0,,11,0.917,7,1,0,0,1,5,0,0,0,0,21,3,3,4,10,0.479,0.25,1.333,0,0.571,0.221,0.265,5
18,dynamic_semantic,louvain,1,0.2,,12,1.0,7,0,0,0,0,5,0,0,0,0,25,3,3,4,10,0.479,0.25,1.333,0,0.574,0.204,0.241,6
19,dynamic_semantic,louvain,1,0.4,,12,1.0,7,0,0,0,0,5,0,0,0,0,25,3,3,4,10,0.479,0.25,1.333,0,0.579,0.204,0.241,6
20,dynamic_semantic,louvain,1,0.5,,12,1.0,7,0,0,0,0,5,0,0,0,0,25,3,3,4,10,0.479,0.25,1.333,0,0.582,0.204,0.241,6
21,dynamic_semantic,louvain,1,0.6,,12,1.0,7,0,0,0,0,5,0,0,0,0,25,3,3,4,10,0.479,0.25,1.333,0,0.586,0.204,0.241,6
22,dynamic_semantic,louvain,1,0.8,,12,1.0,7,0,0,0,0,5,0,0,0,0,25,4,3,6,19,0.528,0.369,2.0,0,0.64,0.175,0.189,4
23,dynamic_semantic,louvain,1,1.0,,12,1.0,7,0,0,0,0,5,0,0,0,0,19,4,3,6,19,0.528,0.369,2.0,0,0.664,0.175,0.178,4
24,static_dynamic_semantic,louvain,1,0.333,0.333,12,1.0,7,0,0,0,0,5,0,0,0,0,25,3,3,4,10,0.479,0.25,1.333,0,0.602,0.204,0.241,6
