,data,algorithm,param,degree_source_1,degree_source_2,number_of_nodes,coverage,number_of_modules,number_of_missing_modules,no_behavior_modules,third_party_modules,other_reason_modules,number_of_classes,number_of_missing_classes,no_behavior_classes,third_party_classes,other_reason_classes,number_of_edges,number_of_services,number_of_services_with_interface,number_of_interfaces,number_of_operations,average_cohesion_at_domain_level,average_cohesion_at_message_level,average_interface_number,number_of_singleton_services,average_cluster_factor,structural_modularity_quality,conceptual_modularity_quality,max_service_size
0,static,louvain,1,,,93,0.744,67,15,7,1,7,58,17,5,1,11,132,12,7,33,76,0.755,0.792,4.714,0,0.355,0.18,0.169,28
1,semantic,louvain,1,,,125,1.0,67,0,0,0,0,58,0,0,0,0,1840,5,5,45,101,0.688,0.77,9.0,0,0.636,0.02,0.252,36
2,dynamic,louvain,1,,,81,0.648,67,23,0,0,23,58,21,6,0,15,140,10,7,30,79,0.579,0.658,4.286,0,0.674,0.178,0.16,42
3,static_dynamic,louvain,1,0.0,,81,0.648,67,23,0,0,23,58,21,6,0,15,140,10,7,30,79,0.579,0.658,4.286,0,0.674,0.178,0.16,42
4,static_dynamic,louvain,1,0.2,,113,0.904,67,3,0,0,3,58,9,5,0,4,222,16,8,29,87,0.557,0.621,3.625,0,0.396,0.192,0.187,44
5,static_dynamic,louvain,1,0.4,,113,0.904,67,3,0,0,3,58,9,5,0,4,222,17,9,32,82,0.592,0.656,3.556,0,0.483,0.196,0.189,38
6,static_dynamic,louvain,1,0.5,,113,0.904,67,3,0,0,3,58,9,5,0,4,222,16,8,32,80,0.655,0.703,4.0,0,0.452,0.192,0.189,33
7,static_dynamic,louvain,1,0.6,,113,0.904,67,3,0,0,3,58,9,5,0,4,222,16,8,32,80,0.655,0.703,4.0,0,0.451,0.192,0.189,32
8,static_dynamic,louvain,1,0.8,,113,0.904,67,3,0,0,3,58,9,5,0,4,222,14,6,30,60,0.723,0.778,5.0,0,0.407,0.191,0.188,34
9,static_dynamic,louvain,1,1.0,,93,0.744,67,15,7,1,7,58,17,5,1,11,132,12,7,33,76,0.755,0.792,4.714,0,0.355,0.18,0.169,28
10,static_semantic,louvain,1,0.0,,125,1.0,67,0,0,0,0,58,0,0,0,0,1840,5,5,45,101,0.688,0.77,9.0,0,0.636,0.02,0.252,36
11,static_semantic,louvain,1,0.2,,125,1.0,67,0,0,0,0,58,0,0,0,0,1885,5,5,39,96,0.639,0.739,7.8,0,0.636,0.02,0.255,37
12,static_semantic,louvain,1,0.4,,125,1.0,67,0,0,0,0,58,0,0,0,0,1885,5,5,39,96,0.639,0.739,7.8,0,0.636,0.02,0.255,37
13,static_semantic,louvain,1,0.5,,125,1.0,67,0,0,0,0,58,0,0,0,0,1885,7,7,42,99,0.693,0.732,6.0,0,0.635,0.039,0.273,30
14,static_semantic,louvain,1,0.6,,125,1.0,67,0,0,0,0,58,0,0,0,0,1885,6,6,39,95,0.669,0.727,6.5,0,0.642,0.034,0.26,37
15,static_semantic,louvain,1,0.8,,125,1.0,67,0,0,0,0,58,0,0,0,0,1885,6,6,42,99,0.74,0.769,7.0,0,0.656,0.033,0.26,36
16,static_semantic,louvain,1,1.0,,93,0.744,67,15,7,1,7,58,17,5,1,11,132,12,7,33,76,0.755,0.792,4.714,0,0.355,0.18,0.169,28
17,dynamic_semantic,louvain,1,0.0,,125,1.0,67,0,0,0,0,58,0,0,0,0,1840,5,5,45,101,0.688,0.77,9.0,0,0.636,0.02,0.252,36
18,dynamic_semantic,louvain,1,0.2,,125,1.0,67,0,0,0,0,58,0,0,0,0,1893,5,5,39,96,0.639,0.739,7.8,0,0.636,0.023,0.255,37
19,dynamic_semantic,louvain,1,0.4,,125,1.0,67,0,0,0,0,58,0,0,0,0,1893,5,5,45,101,0.688,0.77,9.0,0,0.636,0.021,0.252,36
20,dynamic_semantic,louvain,1,0.5,,125,1.0,67,0,0,0,0,58,0,0,0,0,1893,5,5,44,100,0.681,0.765,8.8,0,0.636,0.021,0.25,35
21,dynamic_semantic,louvain,1,0.6,,125,1.0,67,0,0,0,0,58,0,0,0,0,1893,6,6,44,108,0.706,0.753,7.333,0,0.624,0.021,0.251,36
22,dynamic_semantic,louvain,1,0.8,,125,1.0,67,0,0,0,0,58,0,0,0,0,1893,7,7,49,125,0.629,0.696,7.0,0,0.624,0.037,0.219,35
23,dynamic_semantic,louvain,1,1.0,,81,0.648,67,23,0,0,23,58,21,6,0,15,140,10,7,30,79,0.579,0.658,4.286,0,0.674,0.178,0.16,42
24,static_dynamic_semantic,louvain,1,0.333,0.333,125,1.0,67,0,0,0,0,58,0,0,0,0,1921,6,6,44,101,0.706,0.754,7.333,0,0.639,0.032,0.259,32
