,data,algorithm,param,degree_source_1,degree_source_2,number_of_nodes,coverage,number_of_modules,number_of_missing_modules,no_behavior_modules,third_party_modules,other_reason_modules,number_of_classes,number_of_missing_classes,no_behavior_classes,third_party_classes,other_reason_classes,number_of_edges,number_of_services,number_of_services_with_interface,number_of_interfaces,number_of_operations,average_cohesion_at_domain_level,average_cohesion_at_message_level,average_interface_number,number_of_singleton_services,average_cluster_factor,structural_modularity_quality,conceptual_modularity_quality,max_service_size
0,static,louvain,1,,,98,0.628,23,9,2,0,7,133,49,11,3,35,134,10,8,26,82,0.452,0.683,3.25,0,0.366,0.144,0.113,18
1,semantic,louvain,1,,,155,0.994,23,1,0,0,1,133,0,0,0,0,2422,6,6,81,294,0.496,0.669,13.5,0,0.765,0.028,0.2,40
2,dynamic,louvain,1,,,103,0.66,23,3,0,0,3,133,50,14,0,36,291,5,5,42,161,0.336,0.562,8.4,0,0.862,0.078,0.036,28
3,static_dynamic,louvain,1,0.0,,103,0.66,23,3,0,0,3,133,50,14,0,36,291,5,5,42,161,0.336,0.562,8.4,0,0.862,0.078,0.036,28
4,static_dynamic,louvain,1,0.2,,134,0.859,23,2,0,0,2,133,20,11,0,9,352,10,8,55,181,0.496,0.661,6.875,0,0.647,0.127,0.098,29
5,static_dynamic,louvain,1,0.4,,134,0.859,23,2,0,0,2,133,20,11,0,9,352,9,7,50,149,0.521,0.675,7.143,0,0.629,0.13,0.102,33
6,static_dynamic,louvain,1,0.5,,134,0.859,23,2,0,0,2,133,20,11,0,9,352,10,8,53,155,0.506,0.657,6.625,0,0.643,0.135,0.104,37
7,static_dynamic,louvain,1,0.6,,134,0.859,23,2,0,0,2,133,20,11,0,9,352,10,8,51,162,0.46,0.657,6.375,0,0.662,0.133,0.094,37
8,static_dynamic,louvain,1,0.8,,134,0.859,23,2,0,0,2,133,20,11,0,9,352,10,8,51,162,0.46,0.657,6.375,0,0.666,0.133,0.094,37
9,static_dynamic,louvain,1,1.0,,98,0.628,23,9,2,0,7,133,49,11,3,35,134,10,8,26,82,0.452,0.683,3.25,0,0.366,0.144,0.113,18
10,static_semantic,louvain,1,0.0,,155,0.994,23,1,0,0,1,133,0,0,0,0,2422,6,6,81,294,0.496,0.669,13.5,0,0.765,0.028,0.2,40
11,static_semantic,louvain,1,0.2,,155,0.994,23,1,0,0,1,133,0,0,0,0,2479,6,6,71,223,0.464,0.675,11.833,0,0.769,0.045,0.208,41
12,static_semantic,louvain,1,0.4,,155,0.994,23,1,0,0,1,133,0,0,0,0,2479,6,6,73,221,0.506,0.701,12.167,0,0.763,0.045,0.207,39
13,static_semantic,louvain,1,0.5,,155,0.994,23,1,0,0,1,133,0,0,0,0,2479,6,6,73,221,0.506,0.701,12.167,0,0.769,0.045,0.207,41
14,static_semantic,louvain,1,0.6,,155,0.994,23,1,0,0,1,133,0,0,0,0,2479,6,6,73,221,0.506,0.701,12.167,0,0.778,0.045,0.207,39
15,static_semantic,louvain,1,0.8,,155,0.994,23,1,0,0,1,133,0,0,0,0,2479,6,6,73,211,0.505,0.692,12.167,0,0.801,0.045,0.208,41
16,static_semantic,louvain,1,1.0,,98,0.628,23,9,2,0,7,133,49,11,3,35,134,10,8,26,82,0.452,0.683,3.25,0,0.366,0.144,0.113,18
17,dynamic_semantic,louvain,1,0.0,,155,0.994,23,1,0,0,1,133,0,0,0,0,2422,6,6,81,294,0.496,0.669,13.5,0,0.765,0.028,0.2,40
18,dynamic_semantic,louvain,1,0.2,,156,1.0,23,0,0,0,0,133,0,0,0,0,2597,6,6,79,273,0.438,0.636,13.167,0,0.761,0.031,0.2,36
19,dynamic_semantic,louvain,1,0.4,,156,1.0,23,0,0,0,0,133,0,0,0,0,2597,6,6,75,248,0.453,0.624,12.5,0,0.762,0.033,0.19,36
20,dynamic_semantic,louvain,1,0.5,,156,1.0,23,0,0,0,0,133,0,0,0,0,2597,6,6,75,246,0.451,0.621,12.5,0,0.762,0.033,0.193,37
21,dynamic_semantic,louvain,1,0.6,,156,1.0,23,0,0,0,0,133,0,0,0,0,2597,6,6,75,246,0.451,0.621,12.5,0,0.763,0.033,0.193,37
22,dynamic_semantic,louvain,1,0.8,,156,1.0,23,0,0,0,0,133,0,0,0,0,2597,7,7,83,282,0.422,0.607,11.857,0,0.743,0.04,0.188,37
23,dynamic_semantic,louvain,1,1.0,,103,0.66,23,3,0,0,3,133,50,14,0,36,291,5,5,42,161,0.336,0.562,8.4,0,0.862,0.078,0.036,28
24,static_dynamic_semantic,louvain,1,0.333,0.333,156,1.0,23,0,0,0,0,133,0,0,0,0,2619,6,6,70,193,0.509,0.691,11.667,0,0.77,0.048,0.205,39
