,data,algorithm,param,degree_source_1,degree_source_2,number_of_nodes,coverage,number_of_modules,number_of_missing_modules,no_behavior_modules,third_party_modules,other_reason_modules,number_of_classes,number_of_missing_classes,no_behavior_classes,third_party_classes,other_reason_classes,number_of_edges,number_of_services,number_of_services_with_interface,number_of_interfaces,number_of_operations,average_cohesion_at_domain_level,average_cohesion_at_message_level,average_interface_number,number_of_singleton_services,average_cluster_factor,structural_modularity_quality,conceptual_modularity_quality,max_service_size
0,static,louvain,1,,,65,0.756,15,7,4,0,3,71,14,8,0,6,72,9,6,14,39,0.448,0.696,2.333,0,0.415,0.156,0.067,13
1,semantic,louvain,1,,,81,0.942,15,2,0,0,2,71,3,0,0,3,273,8,6,29,58,0.642,0.803,4.833,0,0.678,0.034,0.193,18
2,dynamic,louvain,1,,,51,0.593,15,4,0,0,4,71,31,8,0,23,74,6,6,17,38,0.484,0.645,2.833,0,0.604,0.157,0.059,20
3,static_dynamic,louvain,1,0.0,,51,0.593,15,4,0,0,4,71,31,8,0,23,74,6,6,17,38,0.484,0.645,2.833,0,0.604,0.157,0.059,20
4,static_dynamic,louvain,1,0.2,,71,0.826,15,2,0,0,2,71,13,8,0,5,118,9,8,20,48,0.523,0.761,2.5,0,0.844,0.148,0.048,16
5,static_dynamic,louvain,1,0.4,,71,0.826,15,2,0,0,2,71,13,8,0,5,118,10,8,18,50,0.418,0.692,2.25,0,0.864,0.175,0.072,23
6,static_dynamic,louvain,1,0.5,,71,0.826,15,2,0,0,2,71,13,8,0,5,118,10,8,19,49,0.501,0.758,2.375,0,0.965,0.161,0.072,12
7,static_dynamic,louvain,1,0.6,,71,0.826,15,2,0,0,2,71,13,8,0,5,118,10,8,19,47,0.554,0.775,2.375,0,0.966,0.162,0.07,11
8,static_dynamic,louvain,1,0.8,,71,0.826,15,2,0,0,2,71,13,8,0,5,118,10,8,19,47,0.554,0.775,2.375,0,0.967,0.162,0.07,11
9,static_dynamic,louvain,1,1.0,,65,0.756,15,7,4,0,3,71,14,8,0,6,72,9,6,14,39,0.448,0.696,2.333,0,0.415,0.156,0.067,13
10,static_semantic,louvain,1,0.0,,81,0.942,15,2,0,0,2,71,3,0,0,3,273,8,6,29,58,0.642,0.803,4.833,0,0.678,0.034,0.193,18
11,static_semantic,louvain,1,0.2,,85,0.988,15,0,0,0,0,71,1,0,0,1,322,8,7,39,73,0.688,0.788,5.571,0,0.823,0.056,0.161,21
12,static_semantic,louvain,1,0.4,,85,0.988,15,0,0,0,0,71,1,0,0,1,322,8,7,32,59,0.798,0.901,4.571,0,0.866,0.06,0.154,17
13,static_semantic,louvain,1,0.5,,85,0.988,15,0,0,0,0,71,1,0,0,1,322,8,7,31,58,0.791,0.898,4.429,0,0.876,0.06,0.153,17
14,static_semantic,louvain,1,0.6,,85,0.988,15,0,0,0,0,71,1,0,0,1,322,8,6,26,57,0.716,0.864,4.333,0,0.878,0.084,0.137,17
15,static_semantic,louvain,1,0.8,,85,0.988,15,0,0,0,0,71,1,0,0,1,322,10,9,21,54,0.549,0.794,2.333,0,0.806,0.101,0.112,20
16,static_semantic,louvain,1,1.0,,65,0.756,15,7,4,0,3,71,14,8,0,6,72,9,6,14,39,0.448,0.696,2.333,0,0.415,0.156,0.067,13
17,dynamic_semantic,louvain,1,0.0,,81,0.942,15,2,0,0,2,71,3,0,0,3,273,8,6,29,58,0.642,0.803,4.833,0,0.678,0.034,0.193,18
18,dynamic_semantic,louvain,1,0.2,,86,1.0,15,0,0,0,0,71,0,0,0,0,327,7,6,38,72,0.649,0.76,6.333,0,0.769,0.024,0.17,22
19,dynamic_semantic,louvain,1,0.4,,86,1.0,15,0,0,0,0,71,0,0,0,0,327,8,7,37,71,0.64,0.754,5.286,0,0.676,0.047,0.182,24
20,dynamic_semantic,louvain,1,0.5,,86,1.0,15,0,0,0,0,71,0,0,0,0,327,7,6,36,72,0.605,0.733,6.0,0,0.77,0.022,0.165,20
21,dynamic_semantic,louvain,1,0.6,,86,1.0,15,0,0,0,0,71,0,0,0,0,327,7,5,40,72,0.699,0.778,8.0,0,0.782,0.039,0.135,21
22,dynamic_semantic,louvain,1,0.8,,86,1.0,15,0,0,0,0,71,0,0,0,0,327,8,6,39,65,0.739,0.815,6.5,0,0.771,0.044,0.153,26
23,dynamic_semantic,louvain,1,1.0,,51,0.593,15,4,0,0,4,71,31,8,0,23,74,6,6,17,38,0.484,0.645,2.833,0,0.604,0.157,0.059,20
24,static_dynamic_semantic,louvain,1,0.333,0.333,86,1.0,15,0,0,0,0,71,0,0,0,0,359,7,7,30,58,0.786,0.899,4.286,0,0.883,0.053,0.122,17
