,data,algorithm,param,degree_source_1,degree_source_2,number_of_nodes,coverage,number_of_modules,number_of_missing_modules,no_behavior_modules,third_party_modules,other_reason_modules,number_of_classes,number_of_missing_classes,no_behavior_classes,third_party_classes,other_reason_classes,number_of_edges,number_of_services,number_of_services_with_interface,number_of_interfaces,number_of_operations,average_cohesion_at_domain_level,average_cohesion_at_message_level,average_interface_number,number_of_singleton_services,average_cluster_factor,structural_modularity_quality,conceptual_modularity_quality,max_service_size
0,static,louvain,1,,,315,0.68,113,53,40,0,13,350,95,35,1,59,570,18,14,76,125,0.77,0.858,5.429,0,0.507,0.128,0.105,85
1,semantic,louvain,1,,,461,0.996,113,1,1,0,0,350,1,1,0,0,21555,6,6,214,389,0.746,0.794,35.667,0,0.747,0.004,0.218,110
2,dynamic,louvain,1,,,189,0.408,113,25,0,1,24,350,249,41,0,208,286,20,14,51,125,0.631,0.722,3.643,0,0.546,0.161,0.124,40
3,static_dynamic,louvain,1,0.0,,189,0.408,113,25,0,1,24,350,249,41,0,208,286,20,14,51,125,0.631,0.722,3.643,0,0.546,0.161,0.124,40
4,static_dynamic,louvain,1,0.2,,389,0.84,113,3,0,0,3,350,71,35,0,36,803,23,17,94,152,0.791,0.849,5.529,0,0.683,0.135,0.109,105
5,static_dynamic,louvain,1,0.4,,389,0.84,113,3,0,0,3,350,71,35,0,36,803,20,15,85,125,0.808,0.872,5.667,0,0.654,0.129,0.107,96
6,static_dynamic,louvain,1,0.5,,389,0.84,113,3,0,0,3,350,71,35,0,36,803,21,15,86,126,0.81,0.873,5.733,0,0.67,0.132,0.104,96
7,static_dynamic,louvain,1,0.6,,389,0.84,113,3,0,0,3,350,71,35,0,36,803,23,17,89,130,0.806,0.868,5.235,0,0.675,0.141,0.116,89
8,static_dynamic,louvain,1,0.8,,389,0.84,113,3,0,0,3,350,71,35,0,36,803,24,18,91,134,0.788,0.849,5.056,0,0.675,0.146,0.121,93
9,static_dynamic,louvain,1,1.0,,315,0.68,113,53,40,0,13,350,95,35,1,59,570,18,14,76,125,0.77,0.858,5.429,0,0.507,0.128,0.105,85
10,static_semantic,louvain,1,0.0,,461,0.996,113,1,1,0,0,350,1,1,0,0,21555,6,6,214,389,0.746,0.794,35.667,0,0.747,0.004,0.218,110
11,static_semantic,louvain,1,0.2,,461,0.996,113,1,1,0,0,350,1,1,0,0,21789,6,6,216,395,0.739,0.791,36.0,0,0.747,0.005,0.216,113
12,static_semantic,louvain,1,0.4,,461,0.996,113,1,1,0,0,350,1,1,0,0,21789,7,7,207,366,0.735,0.789,29.571,0,0.715,0.006,0.222,104
13,static_semantic,louvain,1,0.5,,461,0.996,113,1,1,0,0,350,1,1,0,0,21789,7,7,207,362,0.748,0.798,29.571,0,0.714,0.006,0.217,106
14,static_semantic,louvain,1,0.6,,461,0.996,113,1,1,0,0,350,1,1,0,0,21789,6,6,209,360,0.752,0.803,34.833,0,0.712,0.006,0.193,111
15,static_semantic,louvain,1,0.8,,461,0.996,113,1,1,0,0,350,1,1,0,0,21789,7,7,185,288,0.793,0.832,26.429,0,0.693,0.011,0.171,103
16,static_semantic,louvain,1,1.0,,315,0.68,113,53,40,0,13,350,95,35,1,59,570,18,14,76,125,0.77,0.858,5.429,0,0.507,0.128,0.105,85
17,dynamic_semantic,louvain,1,0.0,,461,0.996,113,1,1,0,0,350,1,1,0,0,21555,6,6,214,389,0.746,0.794,35.667,0,0.747,0.004,0.218,110
18,dynamic_semantic,louvain,1,0.2,,462,0.998,113,0,0,0,0,350,1,1,0,0,21685,6,6,218,392,0.746,0.79,36.333,0,0.745,0.004,0.218,110
19,dynamic_semantic,louvain,1,0.4,,462,0.998,113,0,0,0,0,350,1,1,0,0,21685,7,7,212,383,0.747,0.786,30.286,0,0.712,0.005,0.21,97
20,dynamic_semantic,louvain,1,0.5,,462,0.998,113,0,0,0,0,350,1,1,0,0,21685,8,8,221,392,0.734,0.795,27.625,0,0.683,0.006,0.208,96
21,dynamic_semantic,louvain,1,0.6,,462,0.998,113,0,0,0,0,350,1,1,0,0,21685,7,7,216,379,0.76,0.802,30.857,0,0.706,0.005,0.208,97
22,dynamic_semantic,louvain,1,0.8,,462,0.998,113,0,0,0,0,350,1,1,0,0,21685,7,7,217,381,0.761,0.796,31.0,0,0.711,0.006,0.205,99
23,dynamic_semantic,louvain,1,1.0,,189,0.408,113,25,0,1,24,350,249,41,0,208,286,20,14,51,125,0.631,0.722,3.643,0,0.547,0.161,0.124,40
24,static_dynamic_semantic,louvain,1,0.333,0.333,462,0.998,113,0,0,0,0,350,1,1,0,0,21902,6,6,190,303,0.771,0.81,31.667,0,0.746,0.006,0.214,108
