,data,algorithm,param,degree_source_1,degree_source_2,number_of_nodes,coverage,number_of_modules,number_of_missing_modules,no_behavior_modules,third_party_modules,other_reason_modules,number_of_classes,number_of_missing_classes,no_behavior_classes,third_party_classes,other_reason_classes,number_of_edges,number_of_services,number_of_services_with_interface,number_of_interfaces,number_of_operations,average_cohesion_at_domain_level,average_cohesion_at_message_level,average_interface_number,number_of_singleton_services,average_cluster_factor,structural_modularity_quality,conceptual_modularity_quality,max_service_size
0,static,louvain,1,,,50,0.649,13,0,0,0,0,64,27,6,0,21,89,5,3,8,20,0.375,0.189,2.667,0,0.556,0.141,0.098,18
1,semantic,louvain,1,,,76,0.987,13,1,0,0,1,64,0,0,0,0,688,8,7,22,38,0.641,0.7,3.143,0,0.787,0.021,0.22,21
2,dynamic,louvain,1,,,32,0.416,13,5,0,0,5,64,40,8,0,32,52,3,2,10,20,0.633,0.428,5.0,0,0.975,0.089,0.022,20
3,static_dynamic,louvain,1,0.0,,32,0.416,13,5,0,0,5,64,40,8,0,32,52,3,2,10,20,0.633,0.428,5.0,0,0.975,0.089,0.022,20
4,static_dynamic,louvain,1,0.2,,59,0.766,13,0,0,0,0,64,18,6,0,12,110,6,3,10,26,0.5,0.335,3.333,0,0.77,0.142,0.08,25
5,static_dynamic,louvain,1,0.4,,59,0.766,13,0,0,0,0,64,18,6,0,12,110,6,3,10,26,0.5,0.335,3.333,0,0.761,0.142,0.08,25
6,static_dynamic,louvain,1,0.5,,59,0.766,13,0,0,0,0,64,18,6,0,12,110,5,3,8,20,0.375,0.189,2.667,0,0.762,0.133,0.093,25
7,static_dynamic,louvain,1,0.6,,59,0.766,13,0,0,0,0,64,18,6,0,12,110,5,3,9,21,0.444,0.279,3.0,0,0.759,0.134,0.093,25
8,static_dynamic,louvain,1,0.8,,59,0.766,13,0,0,0,0,64,18,6,0,12,110,5,3,8,20,0.375,0.189,2.667,0,0.758,0.133,0.093,25
9,static_dynamic,louvain,1,1.0,,50,0.649,13,0,0,0,0,64,27,6,0,21,89,5,3,8,20,0.375,0.189,2.667,0,0.556,0.141,0.098,18
10,static_semantic,louvain,1,0.0,,76,0.987,13,1,0,0,1,64,0,0,0,0,688,8,7,22,38,0.641,0.7,3.143,0,0.787,0.021,0.22,21
11,static_semantic,louvain,1,0.2,,77,1.0,13,0,0,0,0,64,0,0,0,0,737,7,6,19,38,0.637,0.626,3.167,0,0.828,0.043,0.21,29
12,static_semantic,louvain,1,0.4,,77,1.0,13,0,0,0,0,64,0,0,0,0,737,6,5,17,33,0.595,0.592,3.4,0,0.833,0.036,0.212,28
13,static_semantic,louvain,1,0.5,,77,1.0,13,0,0,0,0,64,0,0,0,0,737,6,5,17,33,0.595,0.592,3.4,0,0.836,0.035,0.208,27
14,static_semantic,louvain,1,0.6,,77,1.0,13,0,0,0,0,64,0,0,0,0,737,6,5,17,33,0.595,0.592,3.4,0,0.723,0.035,0.224,29
15,static_semantic,louvain,1,0.8,,77,1.0,13,0,0,0,0,64,0,0,0,0,737,7,5,15,32,0.541,0.538,3.0,0,0.753,0.062,0.219,31
16,static_semantic,louvain,1,1.0,,50,0.649,13,0,0,0,0,64,27,6,0,21,89,5,3,8,20,0.375,0.189,2.667,0,0.556,0.141,0.098,18
17,dynamic_semantic,louvain,1,0.0,,76,0.987,13,1,0,0,1,64,0,0,0,0,688,8,7,22,38,0.641,0.7,3.143,0,0.787,0.021,0.22,21
18,dynamic_semantic,louvain,1,0.2,,77,1.0,13,0,0,0,0,64,0,0,0,0,723,8,6,21,41,0.624,0.638,3.5,0,0.786,0.034,0.204,21
19,dynamic_semantic,louvain,1,0.4,,77,1.0,13,0,0,0,0,64,0,0,0,0,723,8,6,21,41,0.624,0.638,3.5,0,0.788,0.034,0.204,21
20,dynamic_semantic,louvain,1,0.5,,77,1.0,13,0,0,0,0,64,0,0,0,0,723,8,6,21,41,0.624,0.638,3.5,0,0.789,0.034,0.204,21
21,dynamic_semantic,louvain,1,0.6,,77,1.0,13,0,0,0,0,64,0,0,0,0,723,7,5,20,40,0.606,0.62,4.0,0,0.832,0.037,0.21,29
22,dynamic_semantic,louvain,1,0.8,,77,1.0,13,0,0,0,0,64,0,0,0,0,723,7,5,20,40,0.606,0.62,4.0,0,0.835,0.037,0.21,29
23,dynamic_semantic,louvain,1,1.0,,32,0.416,13,5,0,0,5,64,40,8,0,32,52,3,2,10,20,0.633,0.428,5.0,0,0.975,0.089,0.022,20
24,static_dynamic_semantic,louvain,1,0.333,0.333,77,1.0,13,0,0,0,0,64,0,0,0,0,753,6,5,16,32,0.632,0.567,3.2,0,0.824,0.05,0.184,27
